"","x"
"400","3976450"
"401","3976930"
"402","3977067"
"403","3979762"
"404","3980614"
"405","3994610"
"406","3999395"
"407","3999568"
"408","4004853"
"409","4006280"
"410","4018080"
"411","4021250"
"412","4022370"
"413","4026010"
"414","4027176"
"415","4035833"
"416","4041923"
