"","x"
"1","2385696"
"2","2568968"
"3","2626097"
"4","2672467"
"5","2759158"
"6","2804221"
"7","2831519"
"8","3017068"
"9","3048778"
"10","3155489"
"11","3157311"
"12","3243708"
"13","3275139"
"14","3302740"
"15","3336422"
"16","3337168"
"17","3354095"
"18","3405587"
"19","3428268"
"20","3500787"
"21","3818376"
"22","3843934"
"23","3873824"
"24","3890913"
"25","3980614"
"26","2565935"
"27","3214800"
