"","x"
"400","3475030"
"401","3909395"
"402","3824666"
"403","2509557"
"404","4113312"
"405","2404344"
"406","2775467"
"407","3917851"
"408","3887107"
"409","3749632"
"410","3825164"
"411","3855099"
"412","3268669"
"413","2783473"
"414","2502424"
"415","3470422"
"416","2404209"
"417","3825292"
"418","2790823"
"419","3145955"
"420","3332298"
"421","3831278"
"422","3944922"
"423","2908509"
"424","3677170"
"425","3314040"
"426","3672455"
"427","3662696"
"428","3322071"
"429","2776998"
"430","3740499"
"431","3358950"
"432","3884266"
"433","3805614"
"434","3819737"
"435","3362770"
"436","2811745"
"437","3630183"
"438","2406261"
"439","3055703"
"440","2908499"
"441","2901725"
"442","3959635"
"443","3455946"
"444","3556052"
"445","2813414"
"446","3790479"
"447","2582124"
"448","2916345"
"449","3846316"
"450","2565269"
"451","3510362"
"452","3631214"
"453","3279410"
"454","3309938"
"455","3475154"
"456","2645951"
"457","3335852"
"458","3554282"
"459","3550328"
"460","2840668"
"461","2406405"
"462","2325593"
"463","2992963"
"464","3048517"
"465","3375396"
"466","3434383"
"467","2341645"
"468","2968267"
"469","4013828"
"470","3308489"
"471","2525852"
"472","3182957"
"473","3199662"
"474","3377895"
"475","3831185"
"476","3868587"
"477","2706985"
"478","3742417"
"479","2759303"
"480","3768969"
"481","3518977"
"482","2360647"
"483","3449910"
"484","3639601"
"485","3065638"
"486","3748026"
"487","3299585"
"488","2741236"
"489","3675447"
"490","3556188"
"491","4007550"
"492","3063727"
"493","3996289"
"494","3707759"
"495","3919033"
"496","2644155"
"497","3177563"
"498","3351777"
"499","3329904"
"500","3603408"
"501","3713575"
"502","3107242"
"503","3617458"
"504","2908501"
"505","3334125"
"506","2434159"
"507","2350339"
"508","3212366"
"509","3807510"
"510","3348748"
"511","2968444"
"512","2854718"
"513","2870397"
"514","3884560"
"515","3542207"
"516","3253683"
"517","3531553"
"518","3824838"
"519","3322085"
"520","2641263"
"521","2536380"
"522","3425134"
"523","3292448"
"524","2618598"
"525","3855616"
"526","2378256"
"527","2664607"
"528","3646277"
"529","3413212"
"530","3354227"
"531","3809673"
"532","3264621"
"533","3556150"
"534","2489606"
"535","3556226"
"536","3361031"
"537","3962530"
"538","3322070"
"539","3475036"
"540","2536438"
"541","3976124"
"542","2421753"
"543","3570077"
"544","3555885"
"545","3023803"
"546","2343289"
"547","3203382"
"548","2495806"
"549","2663396"
"550","2540317"
"551","3351767"
"552","2968434"
"553","2591367"
"554","3214825"
"555","2674317"
"556","2454935"
"557","3200611"
"558","4026722"
"559","3707095"
"560","2953777"
"561","2418451"
"562","3841102"
"563","3322072"
"564","3989259"
"565","3829857"
"566","2882834"
"567","2659560"
"568","3243262"
"569","2428501"
"570","2745220"
"571","3190659"
"572","2790570"
"573","2592005"
"574","4000512"
"575","2496536"
"576","3427843"
"577","2727793"
"578","2348757"
"579","2325206"
"580","3958273"
"581","3814033"
"582","3659858"
"583","2333676"
"584","3556224"
"585","3822195"
"586","2417272"
"587","3846594"
"588","2714818"
"589","2819779"
"590","3333668"
"591","2754371"
"592","2339511"
"593","2594627"
"594","3963676"
"595","3513752"
"596","2962525"
"597","2536314"
"598","2666904"
"599","2844309"
"600","2869438"
"601","3831698"
"602","3070712"
"603","2593352"
"604","2545007"
"605","3451670"
"606","3427849"
"607","2716953"
"608","3859946"
"609","3414029"
"610","3212300"
"611","2548776"
"612","2968401"
"613","2484841"
"614","3770944"
"615","3413344"
"616","4026956"
"617","3555889"
"618","3416498"
"619","3275532"
"620","3018696"
"621","3414739"
"622","3562671"
"623","3598267"
"624","3164601"
"625","2854092"
"626","3705151"
"627","3362766"
"628","3537557"
"629","2349402"
"630","2993700"
"631","3569339"
"632","2467191"
"633","3208355"
"634","2335671"
"635","2931683"
"636","3691967"
"637","3916576"
"638","3107828"
"639","3556264"
"640","3125001"
"641","2969289"
"642","3421177"
"643","2536398"
"644","2510485"
"645","2859734"
"646","3545525"
"647","2999485"
"648","2763805"
"649","2557567"
"650","2333675"
"651","3766900"
"652","3762125"
"653","3441941"
"654","3857105"
"655","2336271"
"656","3697183"
"657","3351359"
"658","3708553"
"659","2867836"
"660","2346934"
"661","3252534"
"662","3371003"
"663","2733767"
"664","3947227"
"665","2586227"
"666","2459480"
"667","3096466"
"668","3377933"
"669","2824986"
"670","2380785"
"671","3743514"
"672","2775520"
"673","3416496"
"674","3977886"
"675","3749750"
"676","2775478"
"677","3321269"
"678","3860450"
"679","3068476"
"680","2901698"
"681","3303300"
"682","2361036"
"683","3683018"
"684","2947081"
"685","2703377"
"686","2351572"
"687","2436145"
"688","2502300"
"689","3107606"
"690","2450865"
"691","2968440"
"692","2342624"
"693","3226253"
"694","2412624"
"695","3474964"
"696","2866543"
"697","2775466"
"698","3534886"
"699","2536428"
"700","3182409"
"701","2325526"
"702","4012511"
"703","3634071"
"704","3620515"
"705","3530982"
"706","3363979"
"707","2328609"
"708","3230610"
"709","2788143"
"710","3765299"
"711","2634058"
"712","3819609"
"713","2848233"
"714","3000010"
"715","3871459"
"716","3477967"
"717","3742460"
"718","2870828"
"719","3070908"
"720","3377894"
"721","3959636"
"722","3335792"
"723","3861689"
"724","3749682"
"725","3267678"
"726","3610958"
"727","3603336"
"728","2686798"
"729","2749484"
"730","3518455"
"731","3322075"
"732","3918696"
"733","2565235"
"734","3962054"
"735","2317686"
"736","3533435"
"737","3464747"
"738","2767932"
"739","3199207"
"740","3542063"
"741","3075778"
"742","3797295"
"743","3096482"
"744","3740485"
"745","3464276"
"746","3377897"
"747","3556202"
"748","2845450"
"749","3476457"
"750","4026798"
"751","2320078"
"752","2645275"
"753","2968361"
"754","3275586"
"755","3351895"
"756","3878467"
"757","3655687"
"758","4013359"
"759","2697564"
"760","3099750"
"761","3319331"
"762","3752611"
"763","3113280"
"764","2542651"
"765","2622153"
"766","2775469"
"767","3776193"
"768","3218067"
"769","3556066"
"770","3556290"
"771","4028512"
"772","3929664"
"773","2964327"
"774","3556026"
"775","3420713"
"776","2347732"
"777","3551303"
"778","2363618"
"779","2329131"
"780","3334339"
"781","3047963"
"782","3255509"
"783","2812273"
"784","3061651"
"785","3556094"
