"","V1","X1"
"1","67.9357298474945","2385696"
"2","60.0925925925926","2406361"
"3","56.900871459695","2531129"
"4","57.962962962963","2568968"
"5","67.3202614379085","2601230"
"6","55.4193899782135","2672467"
"7","61.6503267973856","2674432"
"8","62.8703703703704","2773545"
"9","51.8191721132898","2804221"
"10","59.2538126361656","2815331"
"11","52.3856209150327","2844453"
"12","60.1470588235294","3005266"
"13","61.7320261437908","3017068"
"14","58.0392156862745","3048778"
"15","51.797385620915","3061438"
"16","67.3910675381264","3103062"
"17","46.6666666666667","3104698"
"18","53.0501089324619","3134828"
"19","53.2570806100218","3157311"
"20","62.1241830065359","3279089"
"21","57.843137254902","3336422"
"22","59.1938997821351","3337168"
"23","64.9400871459695","3346453"
"24","54.5969498910675","3352040"
"25","50.8986928104575","3354095"
"26","54.6732026143791","3405587"
"27","55.4684095860566","3428268"
"28","57.9357298474945","3500787"
"29","56.8409586056645","3585272"
"30","65.9967320261438","3632862"
"31","52.7015250544662","3708874"
"32","58.3769063180828","3744589"
"33","59.8638344226579","3780271"
"34","50.4575163398693","3808600"
"35","64.1503267973856","3818376"
"36","57.8104575163399","3843934"
"37","53.8671023965142","3890913"
"38","54.656862745098","3475038"
"39","56.3507625272331","2674317"
"40","47.2875816993464","3556094"
"41","53.9869281045752","2968399"
"42","43.5511982570806","2565935"
"43","45.1906318082789","2968401"
"44","65.9912854030501","2968349"
"45","56.0947712418301","3551851"
"46","46.9662309368192","3556202"
"47","54.4444444444444","3214800"
"48","59.2483660130719","3407583"
"49","47.5381263616558","3809690"
"50","44.041394335512","3556110"
"51","53.7254901960784","3096512"
"52","58.6220043572985","2359439"
"53","50.5065359477124","3556158"
"54","58.7908496732026","2968436"
"55","60.5718954248366","3749734"
"56","60.2723311546841","2968434"
"57","55.4466230936819","2536332"
"58","64.4281045751634","3556274"
"59","67.4400871459695","2385696"
"60","66.6830065359477","2385696"
"61","70.8551198257081","2385696"
"62","73.9052287581699","2385696"
"63","64.3845315904139","2385696"
"64","68.1808278867102","2385696"
"65","74.3300653594771","2385696"
"66","63.9651416122004","2385696"
"67","68.1699346405229","2385696"
"68","66.3126361655773","2385696"
"69","70.6100217864924","2385696"
"70","69.0740740740741","2385696"
"71","73.5511982570806","2385696"
"72","62.4074074074074","2385696"
"73","70.615468409586","2385696"
"74","68.5729847494553","2385696"
"75","58.5511982570806","2385696"
"76","67.1078431372549","2385696"
"77","67.3366013071895","2385696"
"78","73.3333333333333","2385696"
"79","66.6884531590414","2385696"
"80","64.7549019607843","2385696"
"81","63.818082788671","2385696"
"82","62.2222222222222","2385696"
"83","65.0871459694989","2385696"
"84","72.2276688453159","2385696"
"85","67.7995642701525","2385696"
"86","59.1285403050109","2385696"
"87","77.5816993464052","2385696"
"88","63.5294117647059","2385696"
"89","73.6220043572985","2385696"
"90","75.136165577342","2385696"
"91","72.7614379084967","2385696"
"92","76.2799564270152","2385696"
"93","68.2298474945534","2385696"
"94","65.0980392156863","2385696"
"95","68.3769063180828","2385696"
"96","73.0555555555555","2385696"
"97","62.5490196078431","2385696"
"98","68.9433551198257","2385696"
"99","60.2995642701525","2385696"
"100","60.119825708061","2385696"
"101","77.5381263616558","2385696"
"102","69.3191721132898","2385696"
"103","68.4041394335512","2385696"
"104","67.6579520697168","2385696"
"105","69.7440087145969","2385696"
"106","62.0479302832244","2385696"
"107","65.9967320261438","2385696"
"108","67.5708061002179","2385696"
"109","67.5054466230937","2385696"
"110","66.6339869281046","2385696"
"111","72.4727668845316","2385696"
"112","66.8681917211329","2385696"
"113","72.2712418300653","2385696"
"114","69.6732026143791","2385696"
"115","65.855119825708","2385696"
"116","63.4912854030501","2406361"
"117","60.255991285403","2406361"
"118","68.2244008714597","2406361"
"119","61.4760348583878","2406361"
"120","60.5337690631808","2406361"
"121","66.2854030501089","2406361"
"122","62.1350762527233","2406361"
"123","61.1002178649237","2406361"
"124","58.6492374727669","2406361"
"125","64.9836601307189","2406361"
"126","65.2015250544662","2406361"
"127","65.942265795207","2406361"
"128","56.3997821350762","2406361"
"129","70.0816993464052","2406361"
"130","63.2734204793028","2406361"
"131","62.5490196078431","2406361"
"132","60.0762527233115","2406361"
"133","59.4607843137255","2406361"
"134","63.5729847494553","2406361"
"135","59.8638344226579","2406361"
"136","64.0686274509804","2406361"
"137","57.6470588235294","2406361"
"138","55.7516339869281","2406361"
"139","60.5882352941176","2406361"
"140","60.2614379084967","2406361"
"141","62.5816993464052","2406361"
"142","58.7854030501089","2406361"
"143","67.1677559912854","2406361"
"144","59.4498910675381","2406361"
"145","63.1045751633987","2406361"
"146","65.0381263616558","2406361"
"147","63.9814814814815","2406361"
"148","66.6448801742919","2406361"
"149","63.3660130718954","2406361"
"150","57.8703703703704","2406361"
"151","62.3747276688453","2406361"
"152","60.3322440087146","2406361"
"153","59.2483660130719","2406361"
"154","60.0871459694989","2406361"
"155","57.8159041394335","2406361"
"156","53.0010893246187","2406361"
"157","64.0849673202614","2406361"
"158","61.9226579520697","2406361"
"159","59.9237472766884","2406361"
"160","60.7788671023965","2406361"
"161","62.4673202614379","2406361"
"162","53.7799564270152","2406361"
"163","63.2080610021786","2406361"
"164","60.1034858387799","2406361"
"165","60.7135076252723","2406361"
"166","61.078431372549","2406361"
"167","65.0326797385621","2406361"
"168","63.0882352941176","2406361"
"169","60.6535947712418","2406361"
"170","61.7864923747277","2406361"
"171","62.6143790849673","2406361"
"172","66.2527233115468","2531129"
"173","74.7276688453159","2531129"
"174","68.1263616557734","2531129"
"175","67.1296296296296","2531129"
