,AUC,CoxSnell,Nagelkerke,McFadden,Features
2018,78.23529412,0.174255927,0.185872989,0.069058346,2385696 2674432 2968349 diagnosis
3035,78.22440087,0.195257215,0.208274363,0.078350089,2385696 3818376 2674317 diagnosis
2927,78.19172113,0.197389675,0.210548987,0.079307095,2385696 3632862 2968434 diagnosis
8741,78.18082789,0.20510388,0.218777472,0.08279044,2601230 3632862 3843934 diagnosis
2983,78.15359477,0.218565077,0.233136082,0.08895059,2385696 3780271 3808600 diagnosis
3215,78.08823529,0.129505613,0.138139321,0.050023275,2385696 2968349 2536332 diagnosis
1906,78.08278867,0.19892851,0.212190411,0.079999274,2385696 2601230 3818376 diagnosis
305,78.0664488,0.179179881,0.191125207,0.071215501,2601230 3632862 diagnosis
14869,78.03921569,0.207522185,0.221356997,0.083889387,2815331 3632862 3808600 diagnosis
5181,78.03376906,0.142254847,0.151738503,0.055344756,2531129 2815331 3818376 diagnosis
2054,77.9956427,0.315690615,0.336736656,0.13681984,2385696 2773545 3632862 diagnosis
3032,77.93028322,0.188997611,0.201597452,0.075555483,2385696 3818376 3843934 diagnosis
5043,77.89760349,0.143218581,0.152766486,0.055750226,2531129 2674432 2968349 diagnosis
2917,77.7832244,0.192860371,0.205717729,0.077277456,2385696 3632862 3556202 diagnosis
8447,77.77777778,0.211341358,0.225430782,0.085631777,2601230 3336422 3632862 diagnosis
2928,77.77233115,0.18622171,0.198636491,0.074323076,2385696 3632862 2536332 diagnosis
2244,77.76143791,0.268751198,0.286667944,0.112891434,2385696 3005266 3632862 diagnosis
8750,77.73965142,0.183940554,0.196203258,0.073313461,2601230 3632862 3551851 diagnosis
3040,77.72331155,0.165138434,0.176147663,0.065097775,2385696 3818376 2968349 diagnosis
2423,77.71786492,0.175513629,0.187214537,0.069608112,2385696 3103062 3818376 diagnosis
1794,77.69063181,0.235659113,0.251369721,0.096927972,2385696 2531129 3632862 diagnosis
2294,77.69063181,0.173243071,0.184792609,0.068616216,2385696 3017068 3818376 diagnosis
2906,77.68518519,0.210752264,0.224802415,0.085362469,2385696 3632862 3818376 diagnosis
3037,77.67973856,0.177524945,0.189359941,0.070489043,2385696 3818376 2968399 diagnosis
2464,77.67429194,0.20713956,0.220948864,0.083715288,2385696 3104698 3818376 diagnosis
2818,77.6416122,0.215338111,0.229693985,0.087464241,2385696 3428268 3808600 diagnosis
4983,77.61982571,0.161521992,0.172290124,0.063538787,2531129 2672467 3818376 diagnosis
3134,77.60348584,0.164911307,0.175905394,0.064999666,2385696 2674317 2968434 diagnosis
5328,77.59803922,0.116353655,0.124110566,0.044614752,2531129 3017068 2968349 diagnosis
87,77.58169935,0.184435709,0.196731423,0.073532372,2385696 3632862 diagnosis
8762,77.58169935,0.181746198,0.193862611,0.072344923,2601230 3632862 2536332 diagnosis
2684,77.57625272,0.23421246,0.249826624,0.096245977,2385696 3346453 3632862 diagnosis
20398,77.54901961,0.163542149,0.174444959,0.064408812,3103062 3336422 3818376 diagnosis
101,77.53812636,0.127744307,0.136260595,0.049294247,2385696 2968349 diagnosis
2988,77.43464052,0.179250762,0.191200813,0.071246647,2385696 3780271 2674317 diagnosis
1892,77.4291939,0.220252635,0.234936144,0.089730331,2385696 2601230 3336422 diagnosis
2060,77.42374728,0.26261483,0.280122485,0.109877423,2385696 2773545 3843934 diagnosis
1904,77.42374728,0.195505614,0.208539322,0.078461435,2385696 2601230 3780271 diagnosis
2037,77.40740741,0.237355884,0.25317961,0.097729527,2385696 2773545 3017068 diagnosis
